Country,EdLevel,YearsCodePro,Salary
51,0,5.0,100000.0
5,0,19.0,74784.0
32,0,2.0,13560.0
25,1,1.0,14460.0
51,0,15.0,96000.0
51,1,2.0,52800.0
50,0,10.0,50256.0
51,0,22.0,160000.0
15,0,6.0,42228.0
51,0,9.0,124000.0
50,2,12.0,125639.0
16,2,5.0,44790.0
51,0,20.0,205000.0
32,1,14.0,53748.0
29,0,6.0,54384.0
51,1,4.0,100000.0
50,0,9.0,55281.0
16,2,5.0,52255.0
24,0,4.0,111204.0
50,0,7.0,56538.0
51,0,1.0,76000.0
51,0,8.0,115000.0
51,1,8.0,200000.0
12,2,2.0,103248.0
17,1,3.0,40956.0
51,0,12.0,86000.0
51,0,5.0,165000.0
4,0,23.0,92780.0
51,1,0.5,160000.0
51,2,5.0,145000.0
51,1,6.0,80000.0
43,1,6.0,31993.0
51,0,3.0,96300.0
17,0,1.0,57588.0
51,1,1.0,55000.0
50,0,12.0,126142.0
51,0,4.0,158000.0
51,3,5.0,90000.0
43,0,10.0,25594.0
43,1,0.5,21329.0
51,0,6.0,150000.0
50,2,4.0,87948.0
45,2,7.0,92436.0
51,1,1.0,75000.0
24,0,9.0,150660.0
50,0,22.0,108050.0
16,0,5.0,36259.0
7,0,1.0,89016.0
51,1,8.0,120000.0
50,0,3.0,100511.0
51,2,6.0,140000.0
29,0,2.0,42228.0
1,0,19.0,106157.0
18,0,1.0,17063.0
51,2,20.0,200000.0
11,1,5.0,24420.0
51,0,17.0,160000.0
51,2,5.0,110000.0
29,0,4.0,62712.0
17,0,6.0,63986.0
1,0,1.0,67940.0
50,0,15.0,125639.0
51,1,4.0,53000.0
46,2,10.0,110659.0
51,0,3.0,72000.0
7,0,3.0,62467.0
51,0,3.0,50000.0
16,2,9.0,106644.0
7,0,27.0,54659.0
15,0,2.0,38388.0
50,2,4.0,60307.0
20,0,13.0,30948.0
50,0,9.0,50256.0
7,0,4.0,58563.0
50,1,6.0,56538.0
36,2,11.0,50123.0
51,0,1.0,200000.0
50,1,28.0,113075.0
0,1,3.0,13128.0
19,0,2.0,23436.0
51,0,3.0,90000.0
51,0,2.0,70000.0
51,0,2.0,171000.0
16,2,1.0,26661.0
51,2,14.0,86000.0
17,1,7.0,47990.0
51,0,2.0,78000.0
16,1,5.0,72518.0
51,0,22.0,187000.0
20,0,5.0,64486.0
51,0,1.0,78337.0
1,1,10.0,81387.0
19,0,8.0,23436.0
51,0,11.0,215000.0
7,0,5.0,85112.0
7,1,2.0,50755.0
51,0,7.0,150000.0
16,2,6.0,47990.0
50,0,16.0,81666.0
17,2,14.0,170630.0
51,0,4.0,162373.0
16,2,14.0,69318.0
7,1,2.0,64029.0
51,0,1.0,55000.0
29,1,10.0,41592.0
12,2,6.0,86040.0
51,1,15.0,125000.0
51,1,31.0,200000.0
51,1,12.0,110000.0
51,2,2.0,250000.0
50,1,7.0,71614.0
15,2,15.0,69744.0
51,2,4.0,82000.0
51,0,8.0,125000.0
51,0,25.0,150000.0
51,0,7.0,180000.0
46,2,1.0,93078.0
51,2,20.0,140000.0
51,0,21.0,95000.0
15,2,6.0,76788.0
51,0,7.0,125000.0
50,1,2.0,32666.0
29,2,2.0,154633.0
7,0,5.0,121030.0
50,0,3.0,62820.0
19,2,16.0,66948.0
35,2,12.0,77700.0
50,0,16.0,59679.0
17,3,10.0,95979.0
50,2,6.0,72243.0
7,0,15.0,117126.0
4,0,2.0,29436.0
50,0,2.0,44853.0
51,1,12.0,135000.0
17,2,5.0,65268.0
51,0,2.0,110000.0
51,0,7.0,75000.0
5,1,1.0,112176.0
51,0,23.0,120000.0
51,0,6.0,120000.0
49,2,17.0,55000.0
32,2,6.0,23352.0
43,3,22.0,53322.0
51,1,8.0,114000.0
51,2,25.0,161000.0
51,2,11.0,175000.0
51,1,20.0,172000.0
7,1,11.0,105414.0
17,1,3.0,63984.0
51,0,8.0,62000.0
32,0,1.0,17568.0
35,0,13.0,110000.0
17,0,11.0,69318.0
50,0,5.0,87948.0
51,0,15.0,200000.0
2,3,30.0,159966.0
51,0,2.0,75000.0
50,2,2.0,41461.0
51,0,5.0,125000.0
51,1,4.0,85000.0
51,1,14.0,51000.0
16,2,7.0,49908.0
17,0,7.0,110568.0
51,1,6.0,120000.0
7,0,5.0,149922.0
32,1,25.0,114708.0
50,1,8.0,113075.0
51,2,10.0,225000.0
51,0,10.0,220000.0
51,1,11.0,180000.0
51,0,5.0,105000.0
17,0,5.0,95979.0
43,1,22.0,44790.0
7,0,8.0,166319.0
5,1,34.0,13212.0
43,3,10.0,37325.0
50,2,6.0,62820.0
51,0,4.0,120000.0
28,0,8.0,18060.0
51,0,9.0,120000.0
51,2,3.0,120000.0
5,1,3.0,14208.0
50,0,4.0,75384.0
19,0,10.0,43524.0
